,first_name,last_name,party,state
0,Tammy,Baldwin,D,WI
1,John,Barrasso,R,WY
2,Michael F.,Bennet,D,CO
3,Marsha,Blackburn,R,TN
4,Richard,Blumenthal,D,CT
5,Roy,Blunt,R,MO
6,Cory A.,Booker,D,NJ
7,John,Boozman,R,AR
8,Mike,Braun,R,IN
9,Sherrod,Brown,D,OH
10,Richard,Burr,R,NC
11,Maria,Cantwell,D,WA
12,Shelley Moore,Capito,R,WV
13,Benjamin L.,Cardin,D,MD
14,Thomas R.,Carper,D,DE
15,"Robert P., Jr.",Casey,D,PA
16,Bill,Cassidy,R,LA
17,Susan M.,Collins,R,ME
18,Christopher A.,Coons,D,DE
19,John,Cornyn,R,TX
20,Catherine,Cortez Masto,D,NV
21,Tom,Cotton,R,AR
22,Kevin,Cramer,R,ND
23,Mike,Crapo,R,ID
24,Ted,Cruz,R,TX
25,Steve,Daines,R,MT
26,Tammy,Duckworth,D,IL
27,Richard J.,Durbin,D,IL
28,Joni,Ernst,R,IA
29,Dianne,Feinstein,D,CA
30,Deb,Fischer,R,NE
31,Kirsten E.,Gillibrand,D,NY
32,Lindsey,Graham,R,SC
33,Chuck,Grassley,R,IA
34,Bill,Hagerty,R,TN
35,Margaret Wood,Hassan,D,NH
36,Josh,Hawley,R,MO
37,Martin,Heinrich,D,NM
38,John W.,Hickenlooper,D,CO
39,Mazie K.,Hirono,D,HI
40,John,Hoeven,R,ND
41,Cindy,Hyde-Smith,R,MS
42,James M.,Inhofe,R,OK
43,Ron,Johnson,R,WI
44,Tim,Kaine,D,VA
45,Mark,Kelly,D,AZ
46,John,Kennedy,R,LA
47,"Angus S., Jr.",King,I,ME
48,Amy,Klobuchar,D,MN
49,James,Lankford,R,OK
50,Patrick J.,Leahy,D,VT
51,Mike,Lee,R,UT
52,Ben Ray,Luján,D,NM
53,Cynthia M.,Lummis,R,WY
54,"Joe, III",Manchin,D,WV
55,Edward J.,Markey,D,MA
56,Roger,Marshall,R,KS
57,Mitch,McConnell,R,KY
58,Robert,Menendez,D,NJ
59,Jeff,Merkley,D,OR
60,Jerry,Moran,R,KS
61,Lisa,Murkowski,R,AK
62,Christopher,Murphy,D,CT
63,Patty,Murray,D,WA
64,Jon,Ossoff,D,GA
65,Alex,Padilla,D,CA
66,Rand,Paul,R,KY
67,Gary C.,Peters,D,MI
68,Rob,Portman,R,OH
69,Jack,Reed,D,RI
70,James E.,Risch,R,ID
71,Mitt,Romney,R,UT
72,Jacky,Rosen,D,NV
73,Mike,Rounds,R,SD
74,Marco,Rubio,R,FL
75,Bernard,Sanders,I,VT
76,Ben,Sasse,R,NE
77,Brian,Schatz,D,HI
78,Charles E.,Schumer,D,NY
79,Rick,Scott,R,FL
80,Tim,Scott,R,SC
81,Jeanne,Shaheen,D,NH
82,Richard C.,Shelby,R,AL
83,Kyrsten,Sinema,D,AZ
84,Tina,Smith,D,MN
85,Debbie,Stabenow,D,MI
86,Dan,Sullivan,R,AK
87,Jon,Tester,D,MT
88,John,Thune,R,SD
89,Thom,Tillis,R,NC
90,Patrick J.,Toomey,R,PA
91,Tommy,Tuberville,R,AL
92,Chris,Van Hollen,D,MD
93,Mark R.,Warner,D,VA
94,Raphael G.,Warnock,D,GA
95,Elizabeth,Warren,D,MA
96,Sheldon,Whitehouse,D,RI
97,Roger F.,Wicker,R,MS
98,Ron,Wyden,D,OR
99,Todd,Young,R,IN
