Book,Start,End,Section,Genre
Genesis,1:1,50:26,Old Testament,Narrative
Exodus,1:1,40:38,Old Testament,Narrative
Leviticus,1:1,27:34,Old Testament,Narrative
Numbers,1:1,36:13,Old Testament,Narrative
Deuteronomy,1:1,34:12,Old Testament,Narrative
Joshua,1:1,24:33,Old Testament,Narrative
Judges,1:1,21:25,Old Testament,Narrative
Ruth,1:1,4:22,Old Testament,Narrative
1 Samuel,1:1,31:13,Old Testament,Narrative
2 Samuel,1:1,24:25,Old Testament,Narrative
1 Kings,1:1,22:53,Old Testament,Narrative
2 Kings,1:1,25:30,Old Testament,Narrative
1 Chronicles,1:1,29:30,Old Testament,Narrative
2 Chronicles,1:1,36:23,Old Testament,Narrative
Ezra,1:1,10:44,Old Testament,Narrative
Nehemiah,1:1,13:31,Old Testament,Narrative
Esther,1:1,10:3,Old Testament,Narrative
Job,1:1,42:17,Old Testament,Wisdom
Psalm,1:1,150:6,Old Testament,Poetry
Proverbs,1:1,31:31,Old Testament,Wisdom
Ecclesiastes,1:1,12:14,Old Testament,Wisdom
Song of Solomon,1:1,8:14,Old Testament,Poetry
Isaiah,1:1,66:24,Old Testament,Prophecy
Jeremiah,1:1,52:34,Old Testament,Prophecy
Lamentations,1:1,5:22,Old Testament,Poetry
Ezekiel,1:1,48:35,Old Testament,Prophecy
Daniel,1:1,12:13,Old Testament,Prophecy
Hosea,1:1,14:9,Old Testament,Prophecy
Joel,1:1,3:21,Old Testament,Prophecy
Amos,1:1,9:15,Old Testament,Prophecy
Obadiah,1,21,Old Testament,Prophecy
Jonah,1:1,4:11,Old Testament,Prophecy
Micah,1:1,7:20,Old Testament,Prophecy
Nahum,1:1,3:19,Old Testament,Prophecy
Habakkuk,1:1,3:19,Old Testament,Prophecy
Zephaniah,1:1,3:20,Old Testament,Prophecy
Haggai,1:1,2:23,Old Testament,Prophecy
Zechariah,1:1,14:21,Old Testament,Prophecy
Malachi,1:1,4:6,Old Testament,Prophecy
Matthew,1:1,28:20,New Testament,Gospel
Mark,1:1,16:20,New Testament,Gospel
Luke,1:1,24:53,New Testament,Gospel
John,1:1,21:25,New Testament,Gospel
Acts,1:1,28:31,New Testament,Narrative
Romans,1:1,16:27,New Testament,Epistle
1 Corinthians,1:1,16:24,New Testament,Epistle
2 Corinthians,1:1,13:14,New Testament,Epistle
Galatians,1:1,6:18,New Testament,Epistle
Ephesians,1:1,6:24,New Testament,Epistle
Philippians,1:1,4:23,New Testament,Epistle
Colossians,1:1,4:18,New Testament,Epistle
1 Thessalonians,1:1,5:28,New Testament,Epistle
2 Thessalonians,1:1,3:18,New Testament,Epistle
1 Timothy,1:1,6:21,New Testament,Epistle
2 Timothy,1:1,4:22,New Testament,Epistle
Titus,1:1,3:15,New Testament,Epistle
Philemon,1,25,New Testament,Epistle
Hebrews,1:1,13:25,New Testament,Epistle
James,1:1,5:20,New Testament,Epistle
1 Peter,1:1,5:14,New Testament,Epistle
2 Peter,1:1,3:18,New Testament,Epistle
1 John,1:1,5:21,New Testament,Epistle
2 John,1,13,New Testament,Epistle
3 John,1,15,New Testament,Epistle
Jude,1,25,New Testament,Epistle
Revelation,1:1,22:21,New Testament,Prophecy
